               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.028332,             0.03399,            0.012237,              0.3489,             0.40236,             0.27078,             0.10932,            0.049145,            0.031257,            0.035187,             0.00307,             0.00307,             0.00307
                  72,            0.028317,            0.033638,            0.012223,             0.37868,             0.37802,             0.27917,             0.11516,            0.049279,            0.031383,            0.033668,            0.002971,            0.002971,            0.002971
                  73,            0.027792,            0.033497,             0.01194,             0.36243,             0.37559,             0.26978,             0.10927,            0.050116,            0.032189,            0.034855,            0.002872,            0.002872,            0.002872
                  74,            0.027728,            0.032835,            0.011982,             0.34413,             0.37317,             0.25424,             0.10303,            0.050866,            0.032784,            0.035741,            0.002773,            0.002773,            0.002773
                  75,             0.02733,            0.032558,            0.011795,             0.36477,             0.39402,             0.28078,             0.11635,            0.050313,            0.032666,            0.034061,            0.002674,            0.002674,            0.002674
                  76,            0.027489,            0.032232,            0.011637,             0.36263,             0.37035,             0.27999,             0.11638,            0.049716,            0.033152,            0.035665,            0.002575,            0.002575,            0.002575
                  77,            0.027085,            0.031707,            0.011529,             0.34529,             0.37525,             0.26243,             0.10745,             0.05121,             0.03365,             0.03707,            0.002476,            0.002476,            0.002476
                  78,             0.02685,            0.031856,            0.011424,             0.36803,             0.37269,             0.26992,             0.11251,            0.049353,            0.033043,            0.033787,            0.002377,            0.002377,            0.002377
                  79,            0.026528,            0.032079,            0.011411,             0.35607,             0.39045,             0.27607,             0.11368,            0.048518,             0.03365,            0.034646,            0.002278,            0.002278,            0.002278
                  80,            0.025837,            0.031729,            0.010845,             0.38795,             0.36909,             0.28763,              0.1167,            0.048503,            0.033956,            0.035841,            0.002179,            0.002179,            0.002179
                  81,            0.025993,            0.030526,             0.01113,             0.33715,             0.38308,             0.26633,             0.10781,            0.049882,            0.034651,            0.035255,             0.00208,             0.00208,             0.00208
                  82,            0.025805,            0.030409,            0.010844,              0.3567,             0.38058,             0.27774,             0.11403,             0.05091,             0.03451,            0.035023,            0.001981,            0.001981,            0.001981
                  83,            0.025731,            0.030763,            0.010986,             0.35726,             0.38011,             0.27632,             0.11232,            0.050582,            0.035026,            0.035304,            0.001882,            0.001882,            0.001882
                  84,            0.025002,            0.030282,            0.010717,             0.36818,             0.37279,             0.27033,             0.11016,            0.050841,            0.034546,            0.036557,            0.001783,            0.001783,            0.001783
                  85,            0.024865,            0.029293,            0.010462,             0.37472,             0.36737,              0.2775,             0.11391,             0.05098,            0.035312,            0.036525,            0.001684,            0.001684,            0.001684
                  86,            0.024923,            0.029921,             0.01047,             0.38362,             0.36185,             0.27869,             0.11508,            0.051534,            0.035851,            0.037336,            0.001585,            0.001585,            0.001585
                  87,            0.024494,            0.029442,            0.010167,             0.37778,             0.36178,             0.27854,             0.11478,            0.051129,            0.036397,            0.036469,            0.001486,            0.001486,            0.001486
